plan_entry_id,task_id,variant,control,expected,worker_lane,wall_seconds,model_api_requests,execution_status,fixture_binding
native-platforming-v1-v01-positive-1,platforming-v1,1,positive-1,True,A,120,0,not_authorized,UNBOUND
native-platforming-v1-v01-positive-2,platforming-v1,1,positive-2,True,B,120,0,not_authorized,UNBOUND
native-platforming-v1-v01-negative-1,platforming-v1,1,negative-1,False,C,120,0,not_authorized,UNBOUND
native-platforming-v1-v01-negative-2,platforming-v1,1,negative-2,False,A,120,0,not_authorized,UNBOUND
native-platforming-v1-v02-positive-1,platforming-v1,2,positive-1,True,B,120,0,not_authorized,UNBOUND
native-platforming-v1-v02-positive-2,platforming-v1,2,positive-2,True,C,120,0,not_authorized,UNBOUND
native-platforming-v1-v02-negative-1,platforming-v1,2,negative-1,False,A,120,0,not_authorized,UNBOUND
native-platforming-v1-v02-negative-2,platforming-v1,2,negative-2,False,B,120,0,not_authorized,UNBOUND
native-platforming-v1-v03-positive-1,platforming-v1,3,positive-1,True,C,120,0,not_authorized,UNBOUND
native-platforming-v1-v03-positive-2,platforming-v1,3,positive-2,True,A,120,0,not_authorized,UNBOUND
native-platforming-v1-v03-negative-1,platforming-v1,3,negative-1,False,B,120,0,not_authorized,UNBOUND
native-platforming-v1-v03-negative-2,platforming-v1,3,negative-2,False,C,120,0,not_authorized,UNBOUND
native-native-teleport-v1-v01-positive-1,native-teleport-v1,1,positive-1,True,B,120,0,not_authorized,UNBOUND
native-native-teleport-v1-v01-positive-2,native-teleport-v1,1,positive-2,True,C,120,0,not_authorized,UNBOUND
native-native-teleport-v1-v01-negative-1,native-teleport-v1,1,negative-1,False,A,120,0,not_authorized,UNBOUND
native-native-teleport-v1-v01-negative-2,native-teleport-v1,1,negative-2,False,B,120,0,not_authorized,UNBOUND
native-native-teleport-v1-v02-positive-1,native-teleport-v1,2,positive-1,True,C,120,0,not_authorized,UNBOUND
native-native-teleport-v1-v02-positive-2,native-teleport-v1,2,positive-2,True,A,120,0,not_authorized,UNBOUND
native-native-teleport-v1-v02-negative-1,native-teleport-v1,2,negative-1,False,B,120,0,not_authorized,UNBOUND
native-native-teleport-v1-v02-negative-2,native-teleport-v1,2,negative-2,False,C,120,0,not_authorized,UNBOUND
native-native-teleport-v1-v03-positive-1,native-teleport-v1,3,positive-1,True,A,120,0,not_authorized,UNBOUND
native-native-teleport-v1-v03-positive-2,native-teleport-v1,3,positive-2,True,B,120,0,not_authorized,UNBOUND
native-native-teleport-v1-v03-negative-1,native-teleport-v1,3,negative-1,False,C,120,0,not_authorized,UNBOUND
native-native-teleport-v1-v03-negative-2,native-teleport-v1,3,negative-2,False,A,120,0,not_authorized,UNBOUND
native-potion-use-v1-v01-positive-1,potion-use-v1,1,positive-1,True,C,120,0,not_authorized,UNBOUND
native-potion-use-v1-v01-positive-2,potion-use-v1,1,positive-2,True,A,120,0,not_authorized,UNBOUND
native-potion-use-v1-v01-negative-1,potion-use-v1,1,negative-1,False,B,120,0,not_authorized,UNBOUND
native-potion-use-v1-v01-negative-2,potion-use-v1,1,negative-2,False,C,120,0,not_authorized,UNBOUND
native-potion-use-v1-v02-positive-1,potion-use-v1,2,positive-1,True,A,120,0,not_authorized,UNBOUND
native-potion-use-v1-v02-positive-2,potion-use-v1,2,positive-2,True,B,120,0,not_authorized,UNBOUND
native-potion-use-v1-v02-negative-1,potion-use-v1,2,negative-1,False,C,120,0,not_authorized,UNBOUND
native-potion-use-v1-v02-negative-2,potion-use-v1,2,negative-2,False,A,120,0,not_authorized,UNBOUND
native-potion-use-v1-v03-positive-1,potion-use-v1,3,positive-1,True,B,120,0,not_authorized,UNBOUND
native-potion-use-v1-v03-positive-2,potion-use-v1,3,positive-2,True,C,120,0,not_authorized,UNBOUND
native-potion-use-v1-v03-negative-1,potion-use-v1,3,negative-1,False,A,120,0,not_authorized,UNBOUND
native-potion-use-v1-v03-negative-2,potion-use-v1,3,negative-2,False,B,120,0,not_authorized,UNBOUND
native-buff-upkeep-v1-v01-positive-1,buff-upkeep-v1,1,positive-1,True,A,300,0,not_authorized,UNBOUND
native-buff-upkeep-v1-v01-positive-2,buff-upkeep-v1,1,positive-2,True,B,300,0,not_authorized,UNBOUND
native-buff-upkeep-v1-v01-negative-1,buff-upkeep-v1,1,negative-1,False,C,300,0,not_authorized,UNBOUND
native-buff-upkeep-v1-v01-negative-2,buff-upkeep-v1,1,negative-2,False,A,300,0,not_authorized,UNBOUND
native-buff-upkeep-v1-v02-positive-1,buff-upkeep-v1,2,positive-1,True,B,300,0,not_authorized,UNBOUND
native-buff-upkeep-v1-v02-positive-2,buff-upkeep-v1,2,positive-2,True,C,300,0,not_authorized,UNBOUND
native-buff-upkeep-v1-v02-negative-1,buff-upkeep-v1,2,negative-1,False,A,300,0,not_authorized,UNBOUND
native-buff-upkeep-v1-v02-negative-2,buff-upkeep-v1,2,negative-2,False,B,300,0,not_authorized,UNBOUND
native-buff-upkeep-v1-v03-positive-1,buff-upkeep-v1,3,positive-1,True,C,300,0,not_authorized,UNBOUND
