plan_entry_id,phase,block,task_id,variant,repetition,model,admission_slot,worker_lane,wall_seconds,max_api_requests,token_ceiling,execution_status,fixture_binding
skill-development-platforming-v1-v01-r01-gpt-6-astra,skill-development,skill-development-platforming-v1-v01-r01,platforming-v1,1,1,gpt-6-astra,1,A,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r01-gpt-5.6-sol,skill-development,skill-development-platforming-v1-v01-r01,platforming-v1,1,1,gpt-5.6-sol,2,B,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r01-gpt-5.6-terra,skill-development,skill-development-platforming-v1-v01-r01,platforming-v1,1,1,gpt-5.6-terra,3,C,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r01-gpt-5.6-luna,skill-development,skill-development-platforming-v1-v01-r01,platforming-v1,1,1,gpt-5.6-luna,4,A,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r02-gpt-5.6-sol,skill-development,skill-development-platforming-v1-v01-r02,platforming-v1,1,2,gpt-5.6-sol,1,C,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r02-gpt-5.6-terra,skill-development,skill-development-platforming-v1-v01-r02,platforming-v1,1,2,gpt-5.6-terra,2,A,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r02-gpt-5.6-luna,skill-development,skill-development-platforming-v1-v01-r02,platforming-v1,1,2,gpt-5.6-luna,3,B,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r02-gpt-6-astra,skill-development,skill-development-platforming-v1-v01-r02,platforming-v1,1,2,gpt-6-astra,4,B,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r03-gpt-5.6-terra,skill-development,skill-development-platforming-v1-v01-r03,platforming-v1,1,3,gpt-5.6-terra,1,B,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r03-gpt-5.6-luna,skill-development,skill-development-platforming-v1-v01-r03,platforming-v1,1,3,gpt-5.6-luna,2,C,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r03-gpt-6-astra,skill-development,skill-development-platforming-v1-v01-r03,platforming-v1,1,3,gpt-6-astra,3,C,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r03-gpt-5.6-sol,skill-development,skill-development-platforming-v1-v01-r03,platforming-v1,1,3,gpt-5.6-sol,4,A,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r04-gpt-5.6-luna,skill-development,skill-development-platforming-v1-v01-r04,platforming-v1,1,4,gpt-5.6-luna,1,A,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r04-gpt-6-astra,skill-development,skill-development-platforming-v1-v01-r04,platforming-v1,1,4,gpt-6-astra,2,A,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r04-gpt-5.6-sol,skill-development,skill-development-platforming-v1-v01-r04,platforming-v1,1,4,gpt-5.6-sol,3,B,120,4,96000,not_authorized,UNBOUND
skill-development-platforming-v1-v01-r04-gpt-5.6-terra,skill-development,skill-development-platforming-v1-v01-r04,platforming-v1,1,4,gpt-5.6-terra,4,C,120,4,96000,not_authorized,UNBOUND
